variable,coefficient,absolute_coefficient
opponent_prior_clean_sheet_rate,-0.6833034210600375,0.6833034210600375
team_prior_avg_goals_for,0.2788907653538823,0.2788907653538823
team_prior_avg_goals_against,-0.2543660707690208,0.2543660707690208
opponent_prior_avg_goals_against,0.17224306211402612,0.17224306211402612
team_prior_points_per_game,-0.145293520842765,0.145293520842765
opponent_prior_points_per_game,-0.11868522918865863,0.11868522918865863
team_prior_clean_sheet_rate,-0.016189510403567368,0.016189510403567368
opponent_prior_avg_goals_for,-0.008070390276162374,0.008070390276162374
