variable,coefficient,absolute_coefficient
team_b_prior_clean_sheet_rate,-1.9589776741697251,1.9589776741697251
team_a_prior_avg_goals_against,-0.6791475886802169,0.6791475886802169
team_a_prior_avg_goals_for,0.46803657626534356,0.46803657626534356
team_a_prior_clean_sheet_rate,-0.2454237322625268,0.2454237322625268
team_b_prior_avg_goals_against,0.16990651885113112,0.16990651885113112
team_b_prior_avg_goals_for,-0.16821083805874304,0.16821083805874304
team_a_prior_points_per_game,-0.1385151245350963,0.1385151245350963
team_b_prior_points_per_game,0.12543126094240134,0.12543126094240134
